scenario,timeout_low_ms,timeout_high_ms,seed,trial,old_leader,new_leader,crash_time_ms,election_start_ms,leader_elected_ms,first_heartbeat_ms,failover_ms
leader_crash_restart,600,1000,0,1,-1,0,1104,1104,1104,1205,101
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,2,259,259,259,359,100
leader_crash_restart,600,1000,0,1,-1,4,400,400,400,501,101
leader_crash_restart,600,1000,0,1,-1,1,1705,1705,1705,1806,101
leader_crash_restart,600,1000,0,1,-1,0,703,703,703,803,100
leader_crash_restart,600,1000,0,1,-1,3,5721,5721,5721,5821,100
leader_crash_restart,600,1000,0,1,-1,3,301,301,301,402,101
leader_crash_restart,600,1000,0,1,-1,1,502,502,502,603,101
leader_crash_restart,600,1000,0,1,-1,2,2408,2408,2408,2508,100
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,4218,4218,4218,4318,100
leader_crash_restart,600,1000,0,1,-1,1,912,911,912,1012,100
leader_crash_restart,600,1000,0,1,-1,3,1405,1405,1405,1505,100
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,4,2810,2810,2810,2910,100
leader_crash_restart,600,1000,0,1,-1,0,311,301,311,401,90
leader_crash_restart,600,1000,0,1,-1,3,306,301,306,401,95
leader_crash_restart,600,1000,0,1,-1,0,405,401,405,501,96
leader_crash_restart,600,1000,0,1,-1,2,2835,2824,2835,2925,90
leader_crash_restart,600,1000,0,1,-1,4,3444,3419,3444,3520,76
leader_crash_restart,600,1000,0,1,-1,1,6060,6040,6060,6140,80
leader_crash_restart,600,1000,0,1,-1,3,306,7633,7648,7733,7427
leader_crash_restart,600,1000,0,1,-1,0,405,9233,9238,9333,8928
leader_crash_restart,600,1000,0,1,-1,3,306,19576,19593,19677,19371
leader_crash_restart,600,1000,0,1,-1,1,6060,24305,24322,24405,18345
leader_crash_restart,600,1000,0,1,-1,0,405,32211,32230,32312,31907
leader_crash_restart,600,1000,0,1,-1,1,6060,36347,36355,36447,30387
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,401,13457,13457,13558,13157
